id,name,image
1,AVRIL,Avril.jpg
2,Adonis,Adonis.jpg
3,Bonanza,bonanzalalumiere.png
4,BONICHOIX,BONICHOIX.gif
5,Costco,Costco.jpg
6,ESPOSITO,ESPOSITO.png
7,Euromarché,Euromarché.png
8,Fruiterie 440,Fruiterie 440.jpg
9,Fruiterie Dollard Inc ,
10,Fruiterie Du Plateau,Fruiterie Du Plateau.png
11,Frutta Si,fruttasi.png
12,IGA,IGA.png
13,INTER MARCHÉ,INTER MARCHÉ.png
14,Le Jardin Mobile,Le Jardin Mobile.jpg
15,L'Épicier du Centre-Ville,L'Épicier du Centre-Ville.jpg
16,Les Amoureux du Terroir,
17,Les Supermarchés Mourelatos,Les Supermarchés Mourelatos.jpg
18,LOBLAWS,Loblaws.png
19,Marché ,
20,Marché Ami,Marché Ami.png
21,Marché Bonanza ,
22,Marché Boni ,
23,Marché C&T,Marché C&T.png
24,Marché d'alimentation Beck inc,
25,Marché Dessaulles ,Marché Dessaulles.png
26,Marché Lacroix - En Faim,Marché Lacroix - En Faim.png
27,Marché Malo,
28,Marché Richelieu,Marché Richelieu.jpg
29,Marchés Tau,Marchés Tau.jpg
30,MARCHÉS TRADITION,MARCHÉS TRADITION.jpg
31,MAXI,MAXI.jpg
32,METRO,METRO.png
33,MOURELATOS,Les Supermarchés Mourelatos.jpg
34,PROVIGO,PROVIGO.gif
35,Rachelle Béry,Rachelle Béry.jpg
36,SUPER C,SUPER C.jpg
37,Supermarché PA,Supermarché PA.png
38,Tienda La Fe,
39,TIGRE GÉANT,TIGRE GÉANT.jpg
40,Ultra Fruits,
41,Walmart,Walmart.jpg
42,William J. Walter ,William J. Walter.png
